"date","t-12","t-11","t-10","t-9","t-8","t-7","t-6","t-5","t-4","t-3","t-2","t-1","t","t.final"
"2006-01",0,0,0,0,0,0,0,0,0,0,0,0,0,683
"2006-02",0,0,0,0,0,0,0,0,0,0,0,0,0,422
"2006-03",0,0,0,0,0,0,0,0,0,0,622,281,106,331
"2006-04",0,0,0,0,0,0,0,0,0,636,319,144,50,518
"2006-05",0,0,0,0,0,0,0,0,636,355,160,201,18,283
"2006-06",0,0,0,0,0,0,0,637,371,166,204,125,2,364
"2006-07",0,0,0,0,0,0,638,371,166,205,125,123,108,326
"2006-08",0,0,0,0,0,638,372,166,241,240,330,235,31,210
"2006-09",0,0,0,0,666,384,183,251,252,330,304,79,140,291
"2006-10",0,0,0,667,399,263,350,252,330,305,79,231,106,241
"2006-11",0,0,667,399,295,461,252,330,305,187,232,106,0,186
"2006-12",0,667,400,326,501,256,336,309,191,248,106,1,0,120
"2007-01",680,421,331,503,270,357,323,203,289,240,96,8,0,312
"2007-02",421,331,518,283,364,326,210,291,241,186,120,202,0,265
"2007-03",331,518,283,364,326,210,291,241,186,120,236,162,14,213
"2007-04",518,283,364,326,210,291,241,186,120,273,235,194,31,294
"2007-05",283,364,326,210,291,241,186,120,302,256,209,234,123,280
"2007-06",364,326,210,291,241,186,120,302,257,211,280,207,87,187
"2007-07",326,210,291,241,186,120,302,257,213,290,272,163,82,212
"2007-08",210,291,241,186,120,302,257,213,290,272,163,147,50,131
"2007-09",291,241,186,120,302,257,213,291,272,168,157,96,64,142
"2007-10",241,186,120,302,257,213,291,272,168,180,108,116,80,151
"2007-11",186,120,302,257,213,291,278,181,209,123,126,136,34,143
"2007-12",120,302,257,213,291,278,181,209,123,126,136,112,23,144
"2008-01",311,265,213,294,280,187,212,129,136,149,131,141,78,180
"2008-02",265,213,294,280,187,212,131,142,151,143,144,124,51,163
"2008-03",213,294,280,187,212,131,142,151,143,144,140,108,23,131
"2008-04",294,280,187,212,131,142,151,143,144,165,160,118,41,100
"2008-05",280,187,212,131,142,151,143,144,168,163,122,86,65,134
"2008-06",187,212,131,142,151,143,144,168,163,122,87,116,29,133
"2008-07",212,131,142,151,143,144,180,163,131,100,134,133,103,149
"2008-08",131,142,151,143,144,180,163,131,100,134,133,149,56,194
"2008-09",142,151,143,144,180,163,131,100,134,133,149,188,0,182
"2008-10",151,143,144,180,163,131,100,134,133,149,194,182,22,113
"2008-11",143,144,180,163,131,100,134,133,149,194,182,50,0,93
"2008-12",144,180,163,131,100,134,133,149,194,182,113,93,0,0
"2009-01",180,163,131,100,134,133,149,194,182,113,93,0,0,17
"2009-02",163,131,100,134,133,149,194,182,113,93,0,0,0,18
"2009-03",131,100,134,133,149,194,182,113,93,0,0,0,0,48
"2009-04",100,134,133,149,194,182,113,93,0,4,9,1,0,213
"2009-05",134,133,149,194,182,113,93,0,4,9,22,105,0,127
"2009-06",133,149,194,182,113,93,0,4,9,23,168,107,78,270
"2009-07",149,194,182,113,93,0,4,9,37,202,114,103,0,309
"2009-08",194,182,113,93,0,4,9,37,202,114,246,174,0,293
"2009-09",182,113,93,0,4,9,37,205,119,248,230,221,78,329
"2009-10",113,93,0,4,9,37,205,119,248,230,241,241,123,293
"2009-11",93,0,17,18,48,213,127,260,273,270,256,124,0,380
"2009-12",0,17,18,48,213,127,268,296,280,312,233,7,1,399
"2010-01",17,18,48,213,127,270,309,293,329,293,380,383,230,575
"2010-02",18,48,213,127,270,309,293,329,293,380,399,368,98,558
"2010-03",48,213,127,270,309,293,329,293,380,399,368,291,223,527
"2010-04",213,127,270,309,293,329,293,380,399,384,320,373,244,593
"2010-05",127,270,309,293,329,293,380,399,384,320,373,347,126,705
"2010-06",270,309,293,329,293,380,399,486,320,373,349,300,49,1015
"2010-07",309,293,329,293,380,399,535,320,373,363,341,406,87,838
"2010-08",293,329,293,380,399,561,411,373,363,341,462,322,0,592
"2010-09",329,293,380,399,573,520,524,571,544,764,372,291,218,402
"2010-10",293,380,399,574,520,524,582,647,793,487,409,315,107,331
"2010-11",380,399,574,520,524,582,653,844,592,411,315,218,0,282
"2010-12",399,574,520,525,582,653,880,704,471,315,221,138,0,328
